X1	B.cell	Dendritic.cell	Macrophage	Neutrophil	T.cell	Basophil	Monocyte	NK.cell
LYZ1	0	4.54770027401481	7.18910833236434	9.43735195721415	0	4.39624901000793	4.13541876945631	0
MCEMP1	0	6.99848518269137	5.07076264786783	8.59101880064125	0	9.52628342479592	8.40095018032428	5.25334100962995
MFSD7A	0	0	2.2088881569867	0	0	0	5.09377866262286	0
MMP25	0	3.08111573448446	0	0	0	4.74351311626598	0	0
MS4A2	0	0	0	0	0	5.71633059328279	0	0
MS4A4B	0	3.08111573448446	3.04376038552841	0	8.64745842645492	3.9379702621365	5.8137457654895	10.76095750634
MZB1	9.40848138790485	0	0	0	0	2.75074777180255	2.70594736231395	5.71228133078561
NCR1	0	0	0	0	0	0	0	9.33698466919024
NKG7	0	0	4.50710518018993	0	9.86779352831134	7.95080862346928	6.80086415646931	11.6710987257485
NUDT17	0	5.25977839011765	0	0	0	0	2.70594736231395	0
OLR1	0	0	0	0	0	5.25736082416071	0	0
PADI4	0	0	3.04376038552841	0	0	6.57827265487946	5.09377866262286	3.25873426840017
PRF1	0	0	0	0	6.39803107397315	0	0	8.94377066130966
PRG3	0	0	0	0	0	3.9379702621365	3.59092816755755	0
PRSS57	0	0	0	0	0	7.05316736574822	5.09377866262286	0
RAB44	0	0	0	7.27469173878025	0	7.08396310996745	5.9489157173668	2.74723392962003
RASGRP4	0	5.25977839011765	3.56919518486284	0	0	7.40985287474539	6.87063719610169	4.57634937041645
RETNLG	0	0	0	10.9665054519057	0	3.26243143449706	7.56106109761186	7.94669744547132
RGS18	0	3.99325527036666	0	0	0	6.23837736292839	5.31012316009295	2.74723392962003
SH2D1A	0	0	0	0	6.08037341646402	0	0	6.73760951073164
SH2D2A	5.19826962713627	0	2.2088881569867	0	8.2336196767597	0	2.70594736231395	7.60944260554845
SIGLECF	0	0	0	0	0	3.26243143449706	3.59092816755755	0
SKINT3	0	4.54770027401481	4.50710518018993	0	0	0	2.70594736231395	3.25873426840017
SLAMF8	0	6.37659517740806	7.07743497885315	0	0	1.95059140673861	4.13541876945631	3.63558857379112
SPIB	5.19826962713627	3.08111573448446	3.56919518486284	0	0	4.18523043637647	5.09377866262286	5.78883483408681
TAL1	0	0	0	0	0	1.95059140673861	0	0
TARM1	0	0	3.56919518486284	7.27469173878025	4.14295795384205	2.75074777180255	0	0
TCF7	0	0	0	0	6.08037341646402	1.95059140673861	0	6.33985000288462
TGTP2	0	4.94723348296767	3.95352168094232	0	0	0	3.59092816755755	4.57634937041645
THEMIS	0	0	0	0	5.6724253419715	1.95059140673861	0	3.63558857379112
TLR13	0	0	4.50710518018993	0	0	0	6.07249906871707	2.74723392962003
TLR5	0	0	0	0	0	0	0	0
TNFRSF13C	6.17848701494574	3.99325527036666	0	0	0	0	2.70594736231395	4.88613203544172
TNFRSF18	0	4.54770027401481	2.2088881569867	0	7.38945208908437	4.74351311626598	0	6.33985000288462
TNIP3	0	8.36351369821486	4.50710518018993	6.28397874066005	0	0	0	0
TPSB2	0	0	0	0	0	0	0	0
TPSG1	0	0	0	0	0	0	0	0
TRAC	0	4.54770027401481	0	0	9.34651373316563	0	0	6.65821148275179
XLR4B	0	0	2.2088881569867	0	4.14295795384205	1.95059140673861	4.13541876945631	2.74723392962003
ZAP70	0	0	0	0	6.08037341646402	1.95059140673861	0	6.28804210073495
9830107B12RIK	0	0	0	7.27469173878025	0	6.29211723603162	2.70594736231395	0
A530030E21RIK	0	0	0	0	0	0	0	3.93411206434354
A930002I21RIK	0	0	0	0	0	0	0	0
ARHGEF37	0	0	2.2088881569867	0	0	0	0	1.94753258010587
CAMP	0	0	0	0	0	15.7731649689011	4.52978644096093	0
CD40LG	0	0	0	0	0	0	0	1.94753258010587
CEBPE	0	0	0	0	0	10.1602073492987	6.56868050176304	3.63558857379112
GFI1B	0	0	0	0	0	1.95059140673861	3.59092816755755	0
GM13814	0	0	0	0	0	0	0	0
GM16194	0	0	0	0	0	2.75074777180255	0	0
GM43291	0	0	2.2088881569867	0	0	2.75074777180255	0	4.18132976471456
NGP	0	0	0	0	0	16.1022744962907	3.59092816755755	4.57634937041645
PAX5	0	0	2.2088881569867	0	0	0	3.59092816755755	4.88613203544172
PRG2	6.75679456792813	0	0	0	0	5.86558705198419	5.31012316009295	1.94753258010587
5730522E02RIK	0	0	0	0	0	0	0	0
CCR6	0	0	0	0	0	0	0	0
CLEC4A4	0	0	0	0	0	0	2.70594736231395	1.94753258010587
EAR6	0	0	0	0	0	2.75074777180255	3.59092816755755	2.74723392962003
EPX	0	0	0	0	0	1.95059140673861	4.13541876945631	1.94753258010587
GZMK	0	0	0	0	5.6724253419715	0	0	2.74723392962003
TMIGD3	0	0	0	0	0	0	0	0
TLR8	0	0	0	0	0	0	0	0
4930430E12RIK	0	0	0	0	0	0	0	0
MUC6	0	0	0	0	0	0	0	0
FER1L5	0	0	0	0	0	0	0	0
TPH1	0	0	0	0	0	0	0	0
PRR33	0	0	0	0	0	0	0	0
GM11695	0	0	0	0	0	0	0	0
GM6209	0	0	0	0	0	0	0	0
GM13817	0	0	0	0	0	0	0	0
GM8221	0	0	0	0	0	0	0	0
